Year,Statistical_Group,Statistical_Category,Statistical_Detail,Count_IMs,Value,commodity,Stat_Redaction
2023,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,0-Category Total,7259,631060938,Wine,FALSE
2023,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,6905,615016806,Wine,FALSE
2023,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,932,16044132,Wine,FALSE
2023,2-Withdrawals,3-Tax Free Withdrawals,0-Category Total,3433,143385368,Wine,FALSE
2023,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,3202,85167026,Wine,FALSE
2023,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,584,51419826,Wine,FALSE
2023,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,528,758929,Wine,FALSE
2023,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,369,6039587,Wine,FALSE
2023,2-Withdrawals,3-Tax Free Withdrawals For Export,0-Category Total,306,60977102,Wine,FALSE
2023,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,255,29309842,Wine,FALSE
2023,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,74,31667260,Wine,FALSE
2024,01-Count of IMs,01-Count of IMs,Number of Industry Members,9449,9449,Wine,FALSE
2024,1-Production,1-Production,0-Category Total,6806,654582735,Wine,FALSE
2024,1-Production,1-Production,1-Low Alcohol %,6382,559068586,Wine,FALSE
2024,1-Production,1-Production,2-Medium and High Alcohol %,1049,42388357,Wine,FALSE
2024,1-Production,1-Production,4-Artificially Carbonated Wine,236,1749785,Wine,FALSE
2024,1-Production,1-Production,5-Sparkling Wine,485,26754866,Wine,FALSE
2024,1-Production,1-Production,6-Hard Cider,919,24621142,Wine,FALSE
2024,2-Withdrawals,2-Taxable Withdrawals,0-Category Total,7094,595405056,Wine,FALSE
2024,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,6672,521651661,Wine,FALSE
2024,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1371,9570643,Wine,FALSE
2024,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,566,3264118,Wine,FALSE
2024,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,1109,23559812,Wine,FALSE
2024,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,1080,37358821,Wine,FALSE
2024,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,0-Category Total,7094,595405056,Wine,FALSE
2024,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,6758,571062046,Wine,FALSE
2024,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,927,24343010,Wine,FALSE
2024,2-Withdrawals,3-Tax Free Withdrawals,0-Category Total,3293,156141403,Wine,FALSE
2024,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,3063,94341299,Wine,FALSE
2024,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,556,55485424,Wine,FALSE
2024,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,536,998294,Wine,FALSE
2024,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,348,5316386,Wine,FALSE
2024,2-Withdrawals,3-Tax Free Withdrawals For Export,0-Category Total,291,68616786,Wine,FALSE
2024,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,254,27726932,Wine,FALSE
2024,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,63,40889855,Wine,FALSE
2025,01-Count of IMs,01-Count of IMs,Number of Industry Members,8785,8785,Wine,FALSE
2025,1-Production,1-Production,0-Category Total,6271,558686431,Wine,FALSE
2025,1-Production,1-Production,1-Low Alcohol %,5883,479205771,Wine,FALSE
2025,1-Production,1-Production,2-Medium and High Alcohol %,864,35472175,Wine,FALSE
2025,1-Production,1-Production,4-Artificially Carbonated Wine,233,2389189,Wine,FALSE
2025,1-Production,1-Production,5-Sparkling Wine,442,19904300,Wine,FALSE
2025,1-Production,1-Production,6-Hard Cider,856,21714996,Wine,FALSE
2025,2-Withdrawals,2-Taxable Withdrawals,0-Category Total,6623,554428785,Wine,FALSE
2025,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,6207,487158248,Wine,FALSE
2025,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1287,8215989,Wine,FALSE
2025,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,567,4485237,Wine,FALSE
2025,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,1107,19804904,Wine,FALSE
2025,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,1014,34764407,Wine,FALSE
2025,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,0-Category Total,6623,554428785,Wine,FALSE
2025,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,6301,535749011,Wine,FALSE
2025,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,894,18679774,Wine,FALSE
2025,2-Withdrawals,3-Tax Free Withdrawals,0-Category Total,3053,130163890,Wine,FALSE
2025,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,2843,78920130,Wine,FALSE
2025,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,481,47013952,Wine,FALSE
2025,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,536,543570,Wine,FALSE
2025,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,321,3686238,Wine,FALSE
2025,2-Withdrawals,3-Tax Free Withdrawals For Export,0-Category Total,250,54234144,Wine,FALSE
2025,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,216,17567920,Wine,FALSE
2025,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,55,36666224,Wine,FALSE
