"Permit_Number","Owner_Name","Operating_Name","Street","City","State","Prem_Zip","Prem_County","Industry_Type","New_Permit_Flag"
"AL-W-15009","HIDDEN MEADOW VINEYARD, L.L.C.",,"664 COUNTY ROAD 606","JEMISON","AL",35085,"CHILTON","Wine Producer",0
"AL-W-15010","LEE INVESTMENT CONSULTANTS LLC","MARAELLA VINEYARDS & WINERY","5296 OLD US HWY 278","HOKES BLUFF","AL",35903,"ETOWAH","Wine Producer",0
"AL-W-15011","FRUITHURST WINERY LLC","THE FRUITHURST WINERY CO.","27091 COUNTY ROAD 49","FRUITHURST","AL",36262,"CLEBURNE","Wine Producer",0
"AL-W-15012","FOLKLORE BREWING & MEADERY, LLC","FOLKLORE BREWING & MEADERY","153 MARY LOU LN STE 1","DOTHAN","AL",36301,"HOUSTON","Wine Producer",0
"AL-W-20316","FORTITUDINE VINEYARD LLC",,"280 VINYARD LN","EUTAW","AL",35462,"GREEN","Wine Producer",0
"AL-W-20426","SOUTHEAST WINE, LLC","Ozan Vineyard and Cellars","173 HIGHWAY 301","CALERA","AL",35040,"SHELBY","Wine Producer",0
"AL-W-21001","LEWIS LAKES VINEYARDS, LLC","Lewis Lakes Vineyards","1075 CHELSEA RD","COLUMBIANA","AL",35051,"SHELBY","Wine Producer",0
"AL-W-21002","THE FAIR HOPE BREWING COMPANY LLC","The Fair Hope Brewing Company","914 NICHOLS AVE","FAIRHOPE","AL",36532,"BALDWIN","Wine Producer",0
"AL-W-21004","CHATEAU MONTEVALLO, LLC",,"1280 HIGHWAY 89","MONTEVALLO","AL",35115,"SHELBY","Wine Producer",0
"AL-W-21005","BRYANT VINEYARD,LLC","Bryant Vineyard","1454 GRIFFITT BEND ROAD","TALLADEGA","AL",35160,"TALLADEGA","Wine Producer",0
"AL-W-21006","SINGIN' RIVER BREWING COMPANY, LLC",,"526 E COLLEGE ST","FLORENCE","AL",35630,"LAUDERDALE","Wine Producer",0
"AL-W-21007","JOHN W. MCCOMBS JR.","Home Boy Brewing Company & Winery","17714 W US HIGHWAY 98 UNIT C","FOLEY","AL",36535,"BALDWIN","Wine Producer",0
"AL-W-21009","LOG CABIN VINEYARDS LLC",,"12774 HIGHWAY 219","SELMA","AL",36701,"PERRY","Wine Producer",0
"AL-W-21010","SALTY NUT BREWERY, LLC","Salty Nut Winery","2406 CLINTON AVE W","HUNTSVILLE","AL",35805,"MADISON","Wine Producer",0
"AL-W-21013","STRAIGHT TO ALE BRANDS, INC.","Straight To Ale Brands","2610 CLINTON AVE, NW","HUNTSVILLE","AL",35805,"MADISON","Wine Producer",0
"AL-W-21014","CAT-N-BIRD WINERY, LLC","Cat-n-Bird Winery","11661 OLD HIGHWAY 280","CHELSEA","AL",35043,"SHELBY","Wine Producer",0
"AL-W-21015","PIPPIN FAMILY VINEYARD AND WINERY LLC","South Ridge Wine","3297 LIVE OAK RD BLDG","LUVERNE","AL",36049,"ALABAMA","Wine Producer",0
"AL-W-21016","GREEN BUS BREWING, L.L.C.",,"206 EUSTIS AVE SE","HUNTSVILLE","AL",35801,"MADISON","Wine Producer",0
"AL-W-21017","CAHABA BREWING COMPANY, LLC",,"4500 5TH AVE S BLDG C","BIRMINGHAM","AL",35222,"JEFFERSON","Wine Producer",0
"AL-W-21018","TAYLOE BEND DISTILLING COMPANY, LLC","Tayloe Bend","4425 3RD AVE S","BIRMINGHAM","AL",35222,"JEFFERSON","Wine Producer",0
"AL-W-21020","A CORBIN COMPANY LLC","Corbin Farms Winery","800 HIGHWAY 87","CALERA","AL",35040,"SHELBY","Wine Producer",0
"AL-W-21021","GOAT ISLAND CRAFT BREWING, LLC",,"1646 A JOHN H COOPER DR SE","CULLMAN","AL",35055,"CULLMAN","Wine Producer",0
"AL-W-21022","LAKE POINT VINEYARD AND WINERY LLC",,"674 LAKE POINT DR","MATHEWS","AL",36052,"MONTGOMERY","Wine Producer",0
