CY_Month_Number,Year,Statistical_Group,Statistical_Category,Statistical_Detail,Count_IMs,Value,commodity,Stat_Redaction
2,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,174,1320720,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,35,925548,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1164,47010140,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,65,2138477,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,536,10261144,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,338,1040223,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,87,148476,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,11,3139,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,119,4309310,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,20,5407359,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,1536,723693781,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,1307,136159179,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,39,438523,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,59,541860,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,251,15904846,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,38,1265591,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1232,143664071,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,1562,734339709,Wine,FALSE
3,2012,1-Production,0-Category Total,1-Production,1053,19319831,Wine,FALSE
3,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1916,48509975,Wine,FALSE
3,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1916,48509975,Wine,FALSE
3,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,928,11201137,Wine,FALSE
3,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,165,9849950,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,2645,856487871,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2645,856487871,Wine,FALSE
3,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,2822,2822,Wine,FALSE
3,2012,1-Production,1-Production,1-Low Alcohol %,925,13560689,Wine,FALSE
3,2012,1-Production,1-Production,2-Medium and High Alcohol %,624,2935429,Wine,FALSE
3,2012,1-Production,1-Production,4-Artificially Carbonated Wine,,,Wine,TRUE
3,2012,1-Production,1-Production,5-Sparkling Wine,41,1996013,Wine,FALSE
3,2012,1-Production,1-Production,6-Hard Cider,,,Wine,TRUE
3,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,1575,41423118,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1311,4724148,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,72,190760,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,235,975488,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,49,1196461,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1890,46668435,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,81,1841540,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,768,9896143,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,567,1177864,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,114,121203,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,13,5927,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,147,4691091,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,29,5158859,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,2299,703146169,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,2038,133909204,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,56,574791,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,71,447783,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,306,16680036,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,54,1729888,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1745,154045214,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,2453,702442657,Wine,FALSE
4,2012,1-Production,0-Category Total,1-Production,600,12208313,Wine,FALSE
4,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1159,44371692,Wine,FALSE
4,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1159,44371692,Wine,FALSE
4,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,588,9992014,Wine,FALSE
4,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,134,9212817,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1659,793715982,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1659,793715982,Wine,FALSE
4,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,1753,1753,Wine,FALSE
4,2012,1-Production,1-Production,1-Low Alcohol %,558,8045493,Wine,FALSE
4,2012,1-Production,1-Production,2-Medium and High Alcohol %,352,1723746,Wine,FALSE
4,2012,1-Production,1-Production,4-Artificially Carbonated Wine,5,11138,Wine,FALSE
4,2012,1-Production,1-Production,5-Sparkling Wine,28,1947626,Wine,FALSE
