winery,wine,vintage,varietal,graph_category,general_category,region,subregion,price,price_type,critic,critic_score,cases_produced,alcohol_pct,estate,single_vineyard,product_tier,source_name,source_url,price_date,data_confidence
Eberle,Cotes-du-Robles Rose,2023.0,Grenache,Rosé,Rosé,Paso Robles,,32.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Estate Chardonnay,2023.0,Chardonnay,Chardonnay,White,Paso Robles,,35.0,Historical listed price,,,,,True,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Cotes-du-Robles Blanc,2023.0,"Grenache Blanc, Picpoul Blanc, Viognier",Rhone Blend,White,Paso Robles,,34.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Full Boar White,2024.0,"Chardonnay, Viognier, Grenache Blanc, Picpoul",White Blen,White,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Estate Viognier,2024.0,Viognier,Viognier,White,Paso Robles,,40.0,Historical listed price,,,,,True,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Limited Estate Cabernet Sauvignon,2022.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,40.0,Historical listed price,,,,,True,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Mountain Road Reserve,2021.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,68.0,Historical listed price,,,,,False,False,Reserve,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Creston Valley Cabernet Sauvignon,2022.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,56.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Cabernet Sauvignon,2022.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Suendero,2021.0,"Cabernet Sauvignon, Cab Franc, Petit Verdot, Malbec",Bordeaux Blend,Red,Paso Robles,,66.0,Historical listed price,,,,,False,False,Limited,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Signature,2020.0,"Cabernet Sauvignon, Petit Verdot, Petite Sirah",Bordeaux Blend,Red,Paso Robles,,52.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Grenache,2021.0,Grenache,Grenache,Red,Paso Robles,,64.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
